"filename", "language", "JSON with Comments", "JavaScript", "HTML", "JSON", "Markdown", "Python", "Vue", "CSS", "XML", "comment", "blank", "total"
"c:\Users\lobs\Desktop\test\AlanStore\src\main.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 11, 14, 53
"c:\Users\lobs\Desktop\test\AlanStore\src\pages\Dashboard\CriptoView.vue", "Vue", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 3, 44
"c:\Users\lobs\Desktop\test\AlanStore\src\pages\Dashboard\Products and categories\categories_manage.vue", "Vue", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"c:\Users\lobs\Desktop\test\AlanStore\src\pages\Dashboard\Products and categories\inventory_general.vue", "Vue", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"c:\Users\lobs\Desktop\test\AlanStore\src\pages\Dashboard\Products and categories\product_dig.vue", "Vue", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"c:\Users\lobs\Desktop\test\AlanStore\src\pages\Dashboard\cases.vue", "Vue", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 4, 82
"c:\Users\lobs\Desktop\test\AlanStore\src\pages\Dashboard\home.vue", "Vue", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 25
"c:\Users\lobs\Desktop\test\AlanStore\src\pages\Dashboard\inventario.vue", "Vue", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 2, 46
"c:\Users\lobs\Desktop\test\AlanStore\src\pages\Dashboard\products_fis.vue", "Vue", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"c:\Users\lobs\Desktop\test\AlanStore\src\pages\Dashboard\profile.vue", "Vue", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 8, 36
"c:\Users\lobs\Desktop\test\AlanStore\src\pages\Dashboard\users.vue", "Vue", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"c:\Users\lobs\Desktop\test\AlanStore\src\pages\Dashboard\users_control\invitation_code_manager.vue", "Vue", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 7, 23
"c:\Users\lobs\Desktop\test\AlanStore\src\pages\Dashboard\users_control\user_control.vue", "Vue", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 6, 23
"c:\Users\lobs\Desktop\test\AlanStore\src\pages\Dashboard\wallet_cripto\Wallet.vue", "Vue", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 8, 24
"c:\Users\lobs\Desktop\test\AlanStore\src\pages\Login\login.vue", "Vue", 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 9, 134
"c:\Users\lobs\Desktop\test\AlanStore\src\pages\Login\logout.vue", "Vue", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 3, 61
"c:\Users\lobs\Desktop\test\AlanStore\src\pages\Login\resetpass.vue", "Vue", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 1, 72
"c:\Users\lobs\Desktop\test\AlanStore\src\pages\Login\signup.vue", "Vue", 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 9, 163
"c:\Users\lobs\Desktop\test\AlanStore\src\pages\Store\homePageEcommerce.vue", "Vue", 0, 0, 0, 0, 0, 0, 128, 0, 0, 1, 22, 151
"c:\Users\lobs\Desktop\test\AlanStore\src\pages\master\dashboard.vue", "Vue", 0, 0, 0, 0, 0, 0, 341, 0, 0, 2, 70, 413
"c:\Users\lobs\Desktop\test\AlanStore\src\router\index.js", "JavaScript", 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 18, 160
"c:\Users\lobs\Desktop\test\AlanStore\src\store.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\lobs\Desktop\test\AlanStore\src\views\HomeView.vue", "Vue", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 5, 19
"c:\Users\lobs\Desktop\test\AlanStore\tailwind.config.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 1, 12
"c:\Users\lobs\Desktop\test\AlanStore\utils\auth.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"c:\Users\lobs\Desktop\test\AlanStore\vite.config.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 15, 3, 36
"c:\Users\lobs\Desktop\test\AlanStore\vue.config.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"Total", "-", 8, 308, 30, 16634, 21, 1669, 5887, 36, 6, 193, 1088, 25880
